name,age,city,salary,department
,30,Amsterdam,72000,Engineering
25,Berlin,58000,Marketing,
35,Chicago,91000,Engineering,
28,Dublin,63000,Sales,
42,Edinburgh,105000,Management,
31,Frankfurt,74000,Engineering,
27,Geneva,61000,Marketing,
38,Helsinki,88000,Sales,
33,Istanbul,77000,Engineering,
45,Jakarta,112000,Management,
29,Kyoto,65000,Marketing,
36,Lisbon,83000,Sales,
41,Madrid,98000,Management,
26,Naples,57000,Engineering,
34,Oslo,79000,Marketing,
39,Paris,92000,Sales,
32,Quebec,71000,Engineering,
47,Rome,118000,Management,
24,Seoul,54000,Marketing,
37,Tokyo,86000,Sales,
