file,duckdbauto_success,duckdbauto_header_precision,duckdbauto_header_recall,duckdbauto_header_f1,duckdbauto_record_precision,duckdbauto_record_recall,duckdbauto_record_f1,duckdbauto_cell_precision,duckdbauto_cell_recall,duckdbauto_cell_f1
row_extra_quote80_col1.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.8756613756613757,0.8756613756613757,0.8756613756613757
row_less_sep_row57_col2.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.8796296296296297,0.8796296296296297,0.8796296296296297
row_extra_quote57_col2.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.7658730158730159,0.7658730158730159,0.765873015873016
row_extra_quote33_col5.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.7698412698412699,0.7698412698412699,0.7698412698412699
row_less_sep_row81_col5.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.7698412698412699,0.7698412698412699,0.7698412698412699
row_less_sep_row2_col7.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.7698412698412699,0.7698412698412699,0.7698412698412699
row_less_sep_row67_col4.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.7698412698412699,0.7698412698412699,0.7698412698412699
row_less_sep_row21_col4.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.7698412698412699,0.7698412698412699,0.7698412698412699
row_more_sep_row17_col6.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.7724867724867724,0.7724867724867724,0.7724867724867724
row_less_sep_row56_col2.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.8796296296296297,0.8796296296296297,0.8796296296296297
row_more_sep_row57_col2.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.7724867724867724,0.7724867724867724,0.7724867724867724
row_extra_quote14_col4.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.7685185185185185,0.7685185185185185,0.7685185185185186
